"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"27368117",0.852724679897826,7.65606985948274,7.8760100676717,3.89251908975191e-07,2.08210584867938e-05,6.47157876319615
"27365912",1.41436755030991,1.1017269630288,7.88956940514844,3.80140932449011e-07,2.0471102916342e-05,6.43946700251393
"27370177",0.709467992754072,3.03766011009421,7.66792792266087,5.61561742915257e-07,2.7667798578597e-05,6.43134755093372
"27364516",-1.17656658886425,3.23715505801517,-7.65691360696362,5.72653318122356e-07,2.78295545453364e-05,6.40987521736363
"27365310",-0.695002007492618,5.3418608032537,-7.78183837796106,4.59153737208521e-07,2.39180084023001e-05,6.40589015258159
"27364057",0.439129092549643,4.52323105734048,7.70417972315322,5.26610255255052e-07,2.62317733398923e-05,6.3808338318748
"novel.33",0.386594045328449,5.17608328453672,7.7525402869634,4.83478012043026e-07,2.47006856195312e-05,6.37520975148398
"27367871",-0.892538965870055,2.50020476259852,-7.63900980912805,5.91172392456137e-07,2.82134369333857e-05,6.36729122329139
"27366442",-0.366336204973855,5.79968226466319,-7.78786663077004,4.5430911919296e-07,2.38213399997888e-05,6.36298395039096
"27369784",0.774289001261362,3.72330540217613,7.62471086436458,6.06410487807753e-07,2.85500248015415e-05,6.32662475752171
"27371898",-0.455901125082511,8.2323967058007,-7.75719397232423,4.7952636823152e-07,2.46569364826143e-05,6.31765767392731
"27370080",1.29219410705661,3.2701066740114,7.59207542064182,6.42742323234374e-07,2.97828855591742e-05,6.29948079389284
"27364849",-1.19519446454735,3.18492633704495,-7.57520882136846,6.62401212488793e-07,3.03632012092441e-05,6.26201701720996
"27370343",0.802349111188991,4.09342402563647,7.60635597405358,6.26572959983354e-07,2.92034297723236e-05,6.26106050867699
"27366963",-0.543050832843954,6.52958458986621,-7.74892000776167,4.86575613835183e-07,2.47006856195312e-05,6.23578921092654
"27371390",0.308179703046752,6.09249346471784,7.73297865279392,5.00463550511423e-07,2.52445676964171e-05,6.23330561917699
"27372133",0.581501865191086,3.54379654964074,7.56116456040302,6.79248161773835e-07,3.09349019962141e-05,6.22882845186919
"27370701",-0.289380327334998,6.72165457503352,-7.72941490716646,5.03624374370179e-07,2.52445676964171e-05,6.19289608284624
"27369347",-0.375540273999959,5.79360665997003,-7.6671057957269,5.62381853165963e-07,2.7667798578597e-05,6.14262683840401
"27366501",0.835775325038133,3.15606738411899,7.49970796009676,7.58390007060194e-07,3.35043118245575e-05,6.13519730434536
"27370835",-1.17216037619008,3.08640612320207,-7.49595278463621,7.63526896772267e-07,3.35043118245575e-05,6.11916221628146
"27368206",0.408682770436505,7.7440624206838,7.66298620633249,5.66510173897169e-07,2.76999146377941e-05,6.08949844529177
"27366614",0.45537169382903,5.69390092752293,7.62234432407906,6.08971670798251e-07,2.85500248015415e-05,6.07704638287872
"27367812",0.405972328787307,6.21401528901452,7.65075071378472,5.78958811377134e-07,2.79654650101561e-05,6.07580131589027
"27369565",-1.07480099095933,1.37166713165442,-7.55177614381645,6.90758551672243e-07,3.12803730501578e-05,6.06204681325979
"27369208",-0.313827534766564,7.69941816870605,-7.62763913696139,6.03256897855408e-07,2.85500248015415e-05,6.03405892666221
"27367725",-0.407695799031042,7.16007570724079,-7.63964256321535,5.90507368406153e-07,2.82134369333857e-05,6.03019751848608
"27366430",-1.59351153251802,5.51969418874654,-7.52103958415399,7.29884461876019e-07,3.2680781804224e-05,6.01167854341219
"27364788",0.552915613420097,4.34688288035762,7.47708137678411,7.89896187728518e-07,3.36656289636165e-05,5.99165187034511
"27370773",-1.45715564933159,5.5453357554093,-7.53067499889464,7.17376642806938e-07,3.23022138032277e-05,5.95183154459211
"27365409",0.372951183590605,4.76880918694781,7.48420722435766,7.79829420186061e-07,3.36254298228334e-05,5.94929522093399
"27369430",0.477110512697988,5.12011060551208,7.49454642386924,7.65460041459838e-07,3.35043118245575e-05,5.92625124429313
"27370022",-0.255448372886122,6.69681311183666,-7.57479997500783,6.62885446726284e-07,3.03632012092441e-05,5.90780441178699
"27365488",0.347222246901488,5.62049011540979,7.51744544126967,7.34608026625668e-07,3.27085249843943e-05,5.90159490521171
"27371882",-0.539332049984513,5.611520225177,-7.49176669148524,7.69295992960354e-07,3.35043118245575e-05,5.8450267251666
"27369980",-0.789852470562516,4.77849577944099,-7.40055946329414,9.06932131146369e-07,3.82348609756311e-05,5.78517567748383
"27371249",0.969757787345197,6.3912579213235,7.48019129086137,7.85486236360057e-07,3.36576629236003e-05,5.76233675744596
"27366670",0.445029980525717,6.65267019186869,7.48371890222314,7.805149958876e-07,3.36254298228334e-05,5.75316372787698
"27366242",-0.707321169279783,4.22435953177865,-7.3333290334419,1.02464974582332e-06,4.16656044602647e-05,5.74862352082039
"27371649",-0.948397947678047,4.775954130305,-7.3705565120926,9.57623490576144e-07,3.94152164351981e-05,5.73548085590047
"27368047",0.669827120488086,4.92565187758783,7.36952559001057,9.59416811597043e-07,3.94152164351981e-05,5.72870717285348
"27369190",0.752656026505266,4.10046584526283,7.30070823832173,1.08739424239636e-06,4.26922764132953e-05,5.7076629041399
"27370962",-1.14962942943672,7.55199871043779,-7.38470434248852,9.33362355360476e-07,3.89471098022146e-05,5.63552959297064
"27368896",0.905806641189553,9.66749623834459,7.30333998237891,1.08218701936249e-06,4.26922764132953e-05,5.62267075742919
"27368071",0.382048792627332,9.16173380409211,7.32767102970396,1.03525642804606e-06,4.16716855127631e-05,5.62125002048754
